aX,aY,aZ,gX,gY,gZ
-0.050,0.036,1.029,-15.686,2.014,-7.874
-0.052,0.032,0.984,-20.630,5.249,-7.446
-0.046,0.038,0.951,-20.569,5.554,-5.615
-0.041,0.060,0.947,-14.709,3.540,-3.174
-0.030,0.075,0.957,-8.179,1.404,-1.343
-0.024,0.073,0.968,-4.150,-0.061,-0.183
-0.023,0.066,0.976,-2.258,-0.610,1.465
-0.013,0.084,0.965,-3.174,0.061,3.357
-0.005,0.114,0.936,-6.592,1.465,4.700
0.005,0.137,0.911,-7.690,2.136,5.249
0.016,0.147,0.892,-4.028,0.977,5.432

-0.000,-0.018,0.944,-4.150,-2.991,0.427
-0.001,-0.028,0.958,-3.540,-3.601,0.305
0.001,-0.036,0.973,-4.700,-3.906,0.366
0.003,-0.039,0.974,-7.690,-3.235,0.610
0.008,-0.027,0.964,-11.292,-2.014,0.854
0.012,-0.018,0.951,-12.695,-1.648,1.221
0.012,-0.014,0.943,-11.047,-2.075,1.099
0.006,-0.010,0.934,-8.545,-2.869,0.977
0.001,-0.009,0.929,-7.812,-3.479,0.793
-0.007,-0.011,0.934,-6.897,-4.578,0.854
-0.012,-0.021,0.937,-4.700,-5.432,0.916
-0.021,-0.020,0.938,-1.038,-6.897,0.793
-0.030,-0.017,0.924,2.319,-8.240,0.854
-0.018,0.011,0.912,0.977,-9.399,0.183
-0.024,-0.021,0.893,0.916,-12.207,-1.526
-0.006,-0.044,0.896,2.136,-16.052,-2.319
0.011,-0.037,0.887,-2.197,-17.456,-2.258
0.002,-0.033,0.853,-9.277,-18.799,-2.441
-0.024,-0.051,0.886,-11.108,-21.606,-2.136
-0.017,-0.042,0.891,-12.329,-24.841,0.122
-0.046,-0.049,0.908,-6.165,-29.602,-1.282
-0.057,-0.029,0.926,-0.061,-31.555,-4.883
-0.059,-0.004,0.932,-4.333,-32.715,-7.996
-0.080,-0.005,0.947,-16.235,-32.166,-13.123
-0.104,-0.060,0.956,-27.283,-29.114,-18.372
-0.111,-0.104,0.955,-35.400,-26.123,-20.447
-0.131,-0.131,0.970,-39.978,-24.536,-20.935
-0.095,-0.127,0.985,-40.161,-23.804,-23.682
-0.256,-0.215,0.986,-41.748,-21.484,-31.311
-0.219,-0.134,1.026,-41.931,-26.184,-20.325
