aX,aY,aZ,gX,gY,gZ
-0.594,-0.044,2.588,32.654,41.748,14.282
-0.544,0.034,2.458,21.301,54.016,-5.981
-0.468,0.077,2.304,38.086,71.106,-19.470
-0.397,0.143,2.181,66.467,86.487,-27.954
-0.328,0.161,2.067,88.745,103.943,-33.386
-0.244,0.175,1.921,96.436,123.108,-32.288
-0.192,0.210,1.779,92.957,135.925,-22.949
-0.116,0.258,1.609,88.623,136.963,-7.812
-0.066,0.277,1.493,77.637,132.324,3.052
-0.012,0.261,1.426,64.392,130.371,5.676
0.042,0.279,1.331,49.744,127.319,13.672
0.098,0.325,1.251,40.955,118.652,27.283
0.135,0.323,1.137,36.438,113.037,25.330
0.140,0.358,1.081,31.006,103.943,20.996
0.184,0.315,0.933,31.799,102.478,14.771
0.233,0.291,0.744,25.208,104.431,18.738
0.195,0.295,0.558,-2.380,95.825,26.794
0.176,0.280,0.429,-17.761,82.397,31.006
0.175,0.256,0.254,-10.681,71.533,34.363
0.159,0.227,0.140,9.094,60.425,32.715
0.131,0.165,-0.004,23.682,56.458,26.733
0.089,0.081,-0.138,32.288,56.335,19.958
0.045,0.019,-0.244,22.461,61.646,16.174
0.023,-0.021,-0.361,-2.014,58.105,13.611
-0.022,-0.071,-0.292,-30.396,48.401,10.925
-0.085,-0.122,-0.301,-68.848,39.612,9.399
-0.109,-0.153,-0.194,-94.666,35.217,11.597
-0.075,-0.188,-0.161,-96.863,41.687,17.151
-0.035,-0.204,0.016,-82.031,39.429,19.287
0.028,-0.187,0.166,-63.782,12.329,12.512
0.116,-0.141,0.332,-49.316,-28.687,3.235
0.192,-0.054,0.491,-32.593,-43.457,5.737
0.191,-0.006,0.580,-21.301,-49.438,1.221
0.181,0.020,0.674,-12.756,-55.420,-4.883
0.142,0.064,0.718,-3.784,-54.016,-8.606
0.118,0.154,0.698,2.441,-45.654,-10.071
0.093,0.246,0.654,1.587,-35.034,-12.695
0.064,0.278,0.651,5.859,-27.893,-18.005
0.047,0.259,0.676,9.216,-23.437,-23.682
0.012,0.203,0.711,4.150,-20.203,-28.503
-0.052,0.118,0.754,-7.080,-18.372,-31.311
-0.097,0.050,0.808,-13.367,-17.761,-30.884
-0.124,0.007,0.856,-10.132,-18.433,-26.917
-0.140,-0.037,0.896,3.418,-22.339,-21.423
-0.135,-0.058,0.935,20.386,-29.236,-15.076
-0.114,-0.071,0.967,33.142,-38.574,-10.620
-0.073,-0.096,1.003,41.504,-47.241,-7.568
-0.020,-0.110,1.020,40.100,-52.368,-4.456
0.036,-0.088,1.046,30.884,-52.795,0.000
0.078,-0.065,1.056,18.555,-47.363,2.930
0.099,-0.016,1.021,3.540,-38.635,4.395
0.089,0.032,0.974,-3.174,-31.067,5.249
0.066,0.061,0.926,-2.808,-25.635,5.249
0.050,0.081,0.896,0.183,-22.949,5.554
0.047,0.089,0.889,2.502,-22.644,5.554
0.058,0.083,0.924,2.258,-23.437,2.380
0.079,0.069,0.963,-6.653,-23.376,-4.639
0.091,0.060,0.975,-20.630,-20.996,-11.108
0.090,0.043,0.987,-25.635,-18.921,-14.832
0.083,0.037,0.989,-22.522,-15.869,-16.174
0.083,0.042,0.989,-14.343,-13.672,-15.015
0.063,0.040,0.993,-1.953,-13.550,-12.695
0.041,0.033,1.001,8.118,-13.733,-11.108
0.052,0.022,1.021,11.108,-13.916,-9.277
0.047,0.005,1.038,4.822,-14.099,-7.629
0.050,0.022,1.021,-8.789,-12.817,-6.287
0.059,0.054,0.996,-17.761,-10.742,-4.456
0.052,0.069,0.978,-16.113,-9.277,-2.625
0.037,0.078,0.969,-9.827,-8.118,-2.319
0.013,0.088,0.955,-8.301,-7.202,-2.930

0.000,-0.016,1.016,8.789,16.418,-19.104
-0.005,-0.024,1.014,11.475,17.639,-17.334
-0.006,-0.025,0.984,13.611,19.043,-15.015
-0.016,-0.031,1.027,23.132,18.494,-11.902
-0.013,-0.047,0.986,20.325,19.287,-9.338
-0.020,-0.040,0.958,10.559,20.996,-6.836
-0.017,-0.027,0.938,9.399,20.752,-4.517
-0.016,-0.030,0.908,10.254,18.799,-2.380
-0.007,-0.020,0.890,11.169,15.503,0.000
0.007,-0.006,0.875,10.986,12.512,2.197
0.032,0.016,0.864,10.254,10.071,3.601
0.058,0.050,0.846,8.606,9.216,4.211
0.110,0.060,0.851,4.822,9.338,4.089
0.159,0.067,0.853,-5.554,11.780,3.235
0.192,0.056,0.814,-15.381,18.311,0.610
0.243,0.011,0.768,-16.418,26.001,1.221
0.261,-0.054,0.665,-15.381,32.043,7.751
0.223,-0.188,0.515,-20.447,34.851,15.198
0.115,-0.373,0.287,-32.532,39.734,26.062
-0.036,-0.524,0.017,-53.467,39.063,44.312
-0.070,-0.445,-0.257,-98.083,31.555,67.505
-0.165,-0.303,-0.561,-150.757,15.930,84.778
-0.142,-0.120,-0.868,-175.293,1.953,92.407
-0.102,0.078,-1.108,-172.363,-23.743,91.553
-0.031,0.286,-1.209,-172.791,-61.279,83.496
0.032,0.468,-1.209,-154.236,-101.440,71.533
0.064,0.640,-1.029,-126.587,-140.808,56.702
0.017,0.877,-0.831,-107.971,-164.734,38.452
-0.040,1.030,-0.615,-87.463,-173.157,12.085
-0.094,0.990,-0.226,-35.522,-173.462,-14.893
-0.261,0.731,0.212,-8.606,-171.936,-38.940
-0.197,0.487,0.578,-44.067,-158.020,-45.471
-0.460,0.317,0.852,-60.852,-138.855,-20.386
-0.523,0.127,1.106,-20.447,-133.789,-11.658
-0.615,0.163,1.262,37.537,-132.324,-7.690
-0.609,0.362,1.443,79.346,-122.559,-4.822
-0.757,0.547,1.798,116.516,-119.751,-13.611
-0.734,0.461,2.018,123.169,-114.197,-38.086
-0.792,0.603,2.322,84.595,-124.207,-15.747
-0.748,0.653,2.663,71.716,-133.545,30.701
-0.919,0.402,2.948,66.528,-127.319,48.157
-1.085,0.145,3.072,37.109,-117.126,52.734
